"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"19",0.005,1000,2,0.4,0.4,19,3.13620222504825,11.1133515420211,1.20720171195884,2.11057956940356,0.004879,2.02277682560854e-05,0.012174,9.99050256752251e-05,0.00507433333333333,2.6105509725464e-05,100,33.4814188399205,"45","84.345"
"20",0.005,1000,2,0.4,0.4,19,3.13620222504825,11.1133515420211,1.20720171195884,2.11057956940356,0.004879,2.02277682560854e-05,0.012174,9.99050256752251e-05,0.00507433333333333,2.6105509725464e-05,1000,16.9470766514996,"16","29.9893333333333"
"21",0.005,1000,2,0.1,0.2,22,2.03616649736315,5.67082380957556,1.42045646315243,2.97994093637481,0.004536,1.49450190063354e-05,0.00732433333333333,3.70028088251639e-05,0.00521166666666667,2.11205707458042e-05,100,451.614061829765,"376","1277.39733333333"
"22",0.005,1000,2,0.1,0.2,22,2.03616649736315,5.67082380957556,1.42045646315243,2.97994093637481,0.004536,1.49450190063354e-05,0.00732433333333333,3.70028088251639e-05,0.00521166666666667,2.11205707458042e-05,1000,313.441164407778,"103","349.925333333333"
"23",0.005,1000,2,0.1,0.4,21,2.16144350962275,6.85424581806374,0.900305885714422,1.53387944187865,0.00422066666666667,1.45534907191286e-05,0.007151,3.74266745581861e-05,0.003235,1.18703984661554e-05,100,103.51631118236,"88","287.730666666667"
"24",0.005,1000,2,0.1,0.4,21,2.16144350962275,6.85424581806374,0.900305885714422,1.53387944187865,0.00422066666666667,1.45534907191286e-05,0.007151,3.74266745581861e-05,0.003235,1.18703984661554e-05,1000,72.1531961136372,"21","68.663"
"25",0.005,10000,1.5,0.7,0.2,49,1.72951460358676,0.495530435414074,1.14662882275241,0.256554875431521,0.0049092,7.27129245748583e-06,0.00762593333333333,1.13140588151606e-05,0.0051475,6.07921348782928e-06,100,139.536167511981,"251","251.753"
"26",0.005,10000,1.5,0.7,0.2,49,1.72951460358676,0.495530435414074,1.14662882275241,0.256554875431521,0.0049092,7.27129245748583e-06,0.00762593333333333,1.13140588151606e-05,0.0051475,6.07921348782928e-06,1000,18.6978263196741,"39","39.117"
"27",0.005,10000,1.5,0.7,0.4,50,1.7062246245822,0.480981496021965,0.716504718323287,0.134531022665978,0.0050477,7.75699370790263e-06,0.00772613333333333,1.20695402289652e-05,0.003321,2.86925541847282e-06,100,40.3288992118217,"70","70.4666666666667"
"28",0.005,10000,1.5,0.7,0.4,50,1.7062246245822,0.480981496021965,0.716504718323287,0.134531022665978,0.0050477,7.75699370790263e-06,0.00772613333333333,1.20695402289652e-05,0.003321,2.86925541847282e-06,1000,6.0980580694397,"11","11.0733333333333"
"29",0.005,10000,1.5,0.4,0.2,73,1.26473584700605,0.546894116155682,0.871126489692792,0.279885479645136,0.00521473333333333,7.11356745137268e-06,0.00551776666666667,5.1436755707458e-06,0.00386686666666667,2.78795816827832e-06,100,215.008902003476,"470","485.823333333333"
"30",0.005,10000,1.5,0.4,0.2,73,1.26473584700605,0.546894116155682,0.871126489692792,0.279885479645136,0.00521473333333333,7.11356745137268e-06,0.00551776666666667,5.1436755707458e-06,0.00386686666666667,2.78795816827832e-06,1000,29.4283131820937,"61","63.0536666666667"
"31",0.005,10000,1.5,0.4,0.4,68,1.38414766534959,0.909236259707391,0.603086891053539,0.135578176950839,0.00487963333333333,7.05970176614427e-06,0.005568,5.6615098366122e-06,0.002569,1.57244314771591e-06,100,55.0988520257637,"123","127.838"
"32",0.005,10000,1.5,0.4,0.4,68,1.38414766534959,0.909236259707391,0.603086891053539,0.135578176950839,0.00487963333333333,7.05970176614427e-06,0.005568,5.6615098366122e-06,0.002569,1.57244314771591e-06,1000,8.31304136892258,"15","15.59"
"33",0.005,10000,2,0.7,0.2,24,3.69974200209019,1.21125245808016,2.35280840808378,0.488178064300632,0.00513276666666667,5.62271058241636e-06,0.0174995333333333,3.56661151539402e-05,0.0112994666666667,1.81478289918862e-05,100,53.9704130902786,"84","84.084"
"34",0.005,10000,2,0.7,0.2,24,3.69974200209019,1.21125245808016,2.35280840808378,0.488178064300632,0.00513276666666667,5.62271058241636e-06,0.0174995333333333,3.56661151539402e-05,0.0112994666666667,1.81478289918862e-05,1000,8.91124705243411,"20","20.02"
"35",0.005,10000,2,0.7,0.4,24,3.66683514367086,1.16281189411645,1.36054813738103,0.173902614889955,0.00519283333333333,6.07416336000889e-06,0.0174851666666667,3.70960219795487e-05,0.00669936666666667,8.18769883183283e-06,100,15.8439321606047,"23","23.0076666666667"
"36",0.005,10000,2,0.7,0.4,24,3.66683514367086,1.16281189411645,1.36054813738103,0.173902614889955,0.00519283333333333,6.07416336000889e-06,0.0174851666666667,3.70960219795487e-05,0.00669936666666667,8.18769883183283e-06,1000,3.42097412497458,"6","6.002"
"37",0.005,10000,2,0.4,0.2,30,3.11445993888758,1.91280049106231,2.02181162566394,0.715781064454159,0.00509523333333333,8.26128770812493e-06,0.0134352666666667,2.52371353073247e-05,0.00899103333333333,1.42735207724797e-05,100,71.411000593807,"126","126.336"
"38",0.005,10000,2,0.4,0.2,30,3.11445993888758,1.91280049106231,2.02181162566394,0.715781064454159,0.00509523333333333,8.26128770812493e-06,0.0134352666666667,2.52371353073247e-05,0.00899103333333333,1.42735207724797e-05,1000,12.6824927008479,"28","28.0746666666667"
"39",0.005,10000,2,0.4,0.4,30,3.12511714275601,2.2529999561962,1.21656433681734,0.265362324298983,0.0052195,8.50991972324108e-06,0.0137284,2.43707636945649e-05,0.00565553333333333,6.52170328331666e-06,100,20.0238941720393,"33","33.077"
"40",0.005,10000,2,0.4,0.4,30,3.12511714275601,2.2529999561962,1.21656433681734,0.265362324298983,0.0052195,8.50991972324108e-06,0.0137284,2.43707636945649e-05,0.00565553333333333,6.52170328331666e-06,1000,4.29559124096138,"7","7.01633333333333"
"41",0.0045,10000,2,0.1,0.2,56,1.50271712887256,2.56466053170881,1.00344167499402,0.835049005854688,0.00440416666666667,5.28484091919529e-06,0.00443126666666667,3.12325014560409e-06,0.00318786666666667,1.79162332333e-06,100,204.006930240176,"689","807.508"
"42",0.0045,10000,2,0.1,0.2,56,1.50271712887256,2.56466053170881,1.00344167499402,0.835049005854688,0.00440416666666667,5.28484091919529e-06,0.00443126666666667,3.12325014560409e-06,0.00318786666666667,1.79162332333e-06,1000,43.9172981215943,"103","120.716"
"43",0.0045,10000,2,0.1,0.4,55,1.53814124735376,2.55321861254511,0.66659026054343,0.334714603552121,0.00439273333333333,5.53892683783483e-06,0.0044885,3.18862729243081e-06,0.00219983333333333,1.01872954873847e-06,100,59.6170894969623,"182","210.028"
"44",0.0045,10000,2,0.1,0.4,55,1.53814124735376,2.55321861254511,0.66659026054343,0.334714603552121,0.00439273333333333,5.53892683783483e-06,0.0044885,3.18862729243081e-06,0.00219983333333333,1.01872954873847e-06,1000,13.3165477417781,"24","27.696"
"45",0.02,100,1.5,0.7,0.2,11,1.17063134920635,2.76707198111751,0.803487169312169,1.56002357433916,0.0177933333333333,0.000150514126931199,0.01906,0.000552500566855619,0.0136433333333333,0.000360879748805157,10,778.227638890899,">=1000",">=1000"
"46",0.02,100,1.5,0.7,0.2,11,1.17063134920635,2.76707198111751,0.803487169312169,1.56002357433916,0.0177933333333333,0.000150514126931199,0.01906,0.000552500566855619,0.0136433333333333,0.000360879748805157,50,283.507091716797,"353","1294.451"
"47",0.02,100,1.5,0.7,0.2,11,1.17063134920635,2.76707198111751,0.803487169312169,1.56002357433916,0.0177933333333333,0.000150514126931199,0.01906,0.000552500566855619,0.0136433333333333,0.000360879748805157,100,221.667584229892,"182","667.394"
"48",0.02,100,1.5,0.7,0.4,9,1.14577632275132,2.83468807073592,0.519780026455026,1.02826688857357,0.0155133333333333,9.58351005890853e-05,0.01709,0.000521339013004335,0.00783,0.00018832054018006,10,258.477772794523,"424","1386.48"
"49",0.02,100,1.5,0.7,0.4,9,1.14577632275132,2.83468807073592,0.519780026455026,1.02826688857357,0.0155133333333333,9.58351005890853e-05,0.01709,0.000521339013004335,0.00783,0.00018832054018006,50,93.0441505100312,"99","323.73"
"50",0.02,100,1.5,0.7,0.4,9,1.14577632275132,2.83468807073592,0.519780026455026,1.02826688857357,0.0155133333333333,9.58351005890853e-05,0.01709,0.000521339013004335,0.00783,0.00018832054018006,100,72.3667334937089,"49","160.23"
"51",0.02,100,1.5,0.4,0.2,9,0.929436507936508,2.44980921449755,0.693527777777778,1.5065869594318,0.0153466666666667,9.28441035900856e-05,0.0141066666666667,0.000437080982549739,0.0105466666666667,0.000282728731799489,10,1885.78284430608,">=1000",">=1000"
"52",0.02,100,1.5,0.4,0.2,9,0.929436507936508,2.44980921449755,0.693527777777778,1.5065869594318,0.0153466666666667,9.28441035900856e-05,0.0141066666666667,0.000437080982549739,0.0105466666666667,0.000282728731799489,50,744.429863416942,"736","2697.19466666667"
"53",0.02,100,1.5,0.4,0.2,9,0.929436507936508,2.44980921449755,0.693527777777778,1.5065869594318,0.0153466666666667,9.28441035900856e-05,0.0141066666666667,0.000437080982549739,0.0105466666666667,0.000282728731799489,100,601.760912976735,"392","1436.54933333333"
"54",0.02,100,1.5,0.4,0.4,10,0.940756084656085,2.33286467725713,0.475481084656085,0.901234283401412,0.0163833333333333,0.000119993053239969,0.0145766666666667,0.000424162176280983,0.00760333333333333,0.00017921572746471,10,393.897883106942,"720","2764.8"
"55",0.02,100,1.5,0.4,0.4,10,0.940756084656085,2.33286467725713,0.475481084656085,0.901234283401412,0.0163833333333333,0.000119993053239969,0.0145766666666667,0.000424162176280983,0.00760333333333333,0.00017921572746471,50,153.81571060797,"162","622.08"
"56",0.02,100,1.5,0.4,0.4,10,0.940756084656085,2.33286467725713,0.475481084656085,0.901234283401412,0.0163833333333333,0.000119993053239969,0.0145766666666667,0.000424162176280983,0.00760333333333333,0.00017921572746471,100,123.806304876417,"74","284.16"
"57",0.02,100,1.5,0.1,0.2,8,0.439927380952381,1.0268562609669,0.350615079365079,0.726933631678562,0.0129433333333333,5.03869178615094e-05,0.00621666666666667,0.00016910942536401,0.00504333333333333,0.00012797411359342,10,8685.83977480918,">=1000",">=1000"
"58",0.02,100,1.5,0.1,0.2,8,0.439927380952381,1.0268562609669,0.350615079365079,0.726933631678562,0.0129433333333333,5.03869178615094e-05,0.00621666666666667,0.00016910942536401,0.00504333333333333,0.00012797411359342,50,4143.41193430926,">=1000",">=1000"
"59",0.02,100,1.5,0.1,0.2,8,0.439927380952381,1.0268562609669,0.350615079365079,0.726933631678562,0.0129433333333333,5.03869178615094e-05,0.00621666666666667,0.00016910942536401,0.00504333333333333,0.00012797411359342,100,3575.60847211476,">=1000",">=1000"
"60",0.02,100,1.5,0.1,0.4,11,0.525395899470899,1.1522068843738,0.286445767195767,0.534632272778183,0.0153233333333333,0.000115067144603757,0.00804333333333333,0.000196803723463377,0.00456,0.000100373191063688,10,1079.02118940803,">=1000",">=1000"
"61",0.02,100,1.5,0.1,0.4,11,0.525395899470899,1.1522068843738,0.286445767195767,0.534632272778183,0.0153233333333333,0.000115067144603757,0.00804333333333333,0.000196803723463377,0.00456,0.000100373191063688,50,531.844657044276,"400","2227.6"
"62",0.02,100,1.5,0.1,0.4,11,0.525395899470899,1.1522068843738,0.286445767195767,0.534632272778183,0.0153233333333333,0.000115067144603757,0.00804333333333333,0.000196803723463377,0.00456,0.000100373191063688,100,463.447716308462,"138","768.522"
"63",0.02,100,2,0.7,0.2,8,1.91369864117364,5.81655811046366,1.36156842231842,3.72394604148765,0.0170966666666667,0.000132848271646104,0.0301566666666667,0.00109237291319329,0.0217666666666667,0.00073539068578415,10,631.2124348616,"845","2344.03"
"64",0.02,100,2,0.7,0.2,8,1.91369864117364,5.81655811046366,1.36156842231842,3.72394604148765,0.0170966666666667,0.000132848271646104,0.0301566666666667,0.00109237291319329,0.0217666666666667,0.00073539068578415,50,261.422245677891,"261","724.014"
"65",0.02,100,2,0.7,0.2,8,1.91369864117364,5.81655811046366,1.36156842231842,3.72394604148765,0.0170966666666667,0.000132848271646104,0.0301566666666667,0.00109237291319329,0.0217666666666667,0.00073539068578415,100,215.198903860196,"166","460.484"
"66",0.02,100,2,0.7,0.4,8,1.92097526455026,5.90262718893951,0.897467195767196,1.90308065949225,0.01708,0.000123981593864622,0.0298933333333333,0.00103299962209625,0.01456,0.000392603934644882,10,157.730795499625,"228","646.38"
"67",0.02,100,2,0.7,0.4,8,1.92097526455026,5.90262718893951,0.897467195767196,1.90308065949225,0.01708,0.000123981593864622,0.0298933333333333,0.00103299962209625,0.01456,0.000392603934644882,50,64.766515788295,"68","192.78"
"68",0.02,100,2,0.7,0.4,8,1.92097526455026,5.90262718893951,0.897467195767196,1.90308065949225,0.01708,0.000123981593864622,0.0298933333333333,0.00103299962209625,0.01456,0.000392603934644882,100,53.1478040319948,"42","119.07"
"69",0.02,100,2,0.4,0.2,7,1.46189788359788,4.63976158294779,1.06431560846561,3.00391259351162,0.01491,8.76877959319773e-05,0.02182,0.000837033277759253,0.0158233333333333,0.000526164176947872,10,1146.76229739063,">=1000",">=1000"
"70",0.02,100,2,0.4,0.2,7,1.46189788359788,4.63976158294779,1.06431560846561,3.00391259351162,0.01491,8.76877959319773e-05,0.02182,0.000837033277759253,0.0158233333333333,0.000526164176947872,50,515.229304306775,"424","1176.88266666667"
"71",0.02,100,2,0.4,0.2,7,1.46189788359788,4.63976158294779,1.06431560846561,3.00391259351162,0.01491,8.76877959319773e-05,0.02182,0.000837033277759253,0.0158233333333333,0.000526164176947872,100,436.287853097311,"275","763.308333333333"
"72",0.02,100,2,0.4,0.4,8,1.56722962962963,4.98863623014144,0.712069576719577,1.48988180429079,0.01645,0.000122404968322774,0.0239,0.000840870290096699,0.0114966666666667,0.000297025664110259,10,203.396381585626,"299","902.382"
"73",0.02,100,2,0.4,0.4,8,1.56722962962963,4.98863623014144,0.712069576719577,1.48988180429079,0.01645,0.000122404968322774,0.0239,0.000840870290096699,0.0114966666666667,0.000297025664110259,50,92.0316834775916,"84","253.512"
"74",0.02,100,2,0.4,0.4,8,1.56722962962963,4.98863623014144,0.712069576719577,1.48988180429079,0.01645,0.000122404968322774,0.0239,0.000840870290096699,0.0114966666666667,0.000297025664110259,100,78.1120595308552,"49","147.882"
"75",0.02,100,2,0.1,0.2,8,0.729381349206349,1.96807852543803,0.563362301587302,1.34456801361209,0.01437,8.78990663554518e-05,0.0108933333333333,0.000328844903856841,0.00842333333333333,0.000233558641769479,10,4284.03881966821,">=1000",">=1000"
"76",0.02,100,2,0.1,0.2,8,0.729381349206349,1.96807852543803,0.563362301587302,1.34456801361209,0.01437,8.78990663554518e-05,0.0108933333333333,0.000328844903856841,0.00842333333333333,0.000233558641769479,50,2409.08830550633,">=1000",">=1000"
"77",0.02,100,2,0.1,0.2,8,0.729381349206349,1.96807852543803,0.563362301587302,1.34456801361209,0.01437,8.78990663554518e-05,0.0108933333333333,0.000328844903856841,0.00842333333333333,0.000233558641769479,100,2174.71950869538,"580","2158.95333333333"
"78",0.02,100,2,0.1,0.4,9,0.764363095238095,1.95802528768329,0.408292857142857,0.788867619767814,0.0154466666666667,0.000124308591752806,0.0115266666666667,0.000327044970545737,0.00658333333333333,0.000154677948204957,10,779.464680467552,">=1000",">=1000"
"79",0.02,100,2,0.1,0.4,9,0.764363095238095,1.95802528768329,0.408292857142857,0.788867619767814,0.0154466666666667,0.000124308591752806,0.0115266666666667,0.000327044970545737,0.00658333333333333,0.000154677948204957,50,435.043764178138,"281","1113.603"
"80",0.02,100,2,0.1,0.4,9,0.764363095238095,1.95802528768329,0.408292857142857,0.788867619767814,0.0154466666666667,0.000124308591752806,0.0115266666666667,0.000327044970545737,0.00658333333333333,0.000154677948204957,100,391.99124945511,"123","487.449"
